
loan_id,approved,risk_level
L0117,False,High
L0118,False,Medium
L0119,False,Low
L0120,False,High
L0121,False,High
L0122,True,Low
L0123,False,Medium
L0124,False,Medium
L0125,False,High
L0126,True,Low
L0127,False,High
L0128,False,High
L0129,False,Medium
L0130,False,Medium
L0131,False,Medium
L0132,True,Low
L0133,False,High
L0134,True,Low
L0135,False,High
L0136,False,High
L0137,True,Low
L0138,True,Low
L0139,True,Low
L0140,True,Medium
L0141,False,Low
L0142,False,High
L0143,True,Medium
L0144,False,High
L0145,False,Medium
L0146,False,High
L0147,False,High
L0148,True,Low
L0149,True,Low
L0150,True,Low
L0151,False,High
L0152,False,Medium
L0153,True,Medium
L0154,False,High
L0155,False,Medium
L0156,False,High
L0157,False,High
L0158,True,Low
L0159,False,Low
L0160,False,Medium
L0161,True,Low
L0162,True,Medium
L0163,True,Low
L0164,False,Medium
L0165,True,Medium
L0166,False,Low
L0167,True,Medium
L0168,True,Medium
L0169,True,Medium
L0170,False,High
L0171,False,High
L0172,True,Medium
L0173,True,Low
L0174,True,Low
L0175,True,Low
L0176,False,High
L0177,True,Medium
L0178,False,Medium
L0179,True,Low
L0180,False,Medium
L0181,False,High
L0182,False,High
L0183,False,Low
L0184,False,Medium
L0185,False,High
L0186,False,High
L0187,False,Medium
L0188,False,High
L0189,True,Medium
L0190,True,Medium
L0191,False,High
L0192,False,Medium
L0193,False,Low
L0194,False,Low
L0195,True,Medium
L0196,True,Medium
L0197,False,Medium
L0198,True,Low
L0199,False,Low
L0200,False,Medium
L0201,True,Low
L0202,True,Medium
L0203,True,Low
L0204,False,High
L0205,False,Low
L0206,True,Medium
L0207,False,Medium
L0208,True,Medium
L0209,False,Low
L0210,False,Medium
L0211,False,High
L0212,True,Medium
L0213,False,Medium
L0214,False,Medium
L0215,True,Medium
L0216,False,High
L0217,False,Low
L0218,False,High
L0219,True,Low
L0220,True,Low
L0221,False,High
L0222,False,High
L0223,False,High
L0224,False,High
L0225,False,High
L0226,True,Low
L0227,False,High
L0228,False,High
L0229,False,High
L0230,False,High
L0231,False,High
L0232,False,High
L0233,False,High
L0234,False,Low
L0235,False,High
L0236,False,Low
L0237,False,Medium
L0238,False,Low
L0239,False,High
L0240,True,Medium
L0241,True,Low
L0242,True,Low
L0243,True,Medium
L0244,True,Medium
L0245,False,Low
L0246,False,High
L0247,True,Medium
L0248,False,High
L0249,True,Low
L0250,False,Low
L0251,False,Medium
L0252,False,High
L0253,True,Low
L0254,False,Low
L0255,False,Medium
L0256,True,Medium
L0257,False,Low
L0258,False,High
L0259,False,High
L0260,True,Low
L0261,True,Medium
L0262,True,Medium
L0263,True,Low
L0264,False,Medium
L0265,False,High
L0266,False,High
L0267,False,Medium
L0268,False,High
L0269,False,High
L0270,False,Medium
L0271,False,High
L0272,True,Low
L0273,False,Low
L0274,False,High
L0275,False,High
L0276,False,Low
L0277,False,Low
L0278,False,High
L0279,False,High
L0280,False,Medium
L0281,False,Medium
L0282,True,Low
L0283,True,Medium
L0284,False,High
L0285,False,High
L0286,True,Medium
L0287,True,Low
L0288,False,High
L0289,False,High
L0290,True,Low
L0291,False,High
L0292,False,Medium
L0293,False,High
L0294,False,High
L0295,True,Medium
L0296,True,Low
L0297,False,High
L0298,True,Medium
L0299,True,Medium
L0300,False,Low
L0301,False,Medium
L0302,True,Low
L0303,False,High
L0304,False,High
L0305,False,High
L0306,False,Medium
L0307,False,High
L0308,True,Medium
L0309,False,High
L0310,True,Medium
L0311,True,Medium
L0312,True,Low
L0313,True,Medium
L0314,False,Medium
L0315,True,Medium
L0316,True,Medium
L0317,True,Medium
L0318,False,Medium
L0319,False,High
L0320,False,High
L0321,False,High
L0322,True,Low
L0323,False,High
L0324,False,High
L0325,False,High
L0326,False,High
L0327,True,Low
L0328,True,Low
L0329,False,High
L0330,False,Medium
L0331,False,High
L0332,True,Medium
L0333,False,Low
L0334,False,Low
L0335,False,High
L0336,False,Low
L0337,False,High
L0338,False,High
L0339,False,Low
L0340,True,Low
L0341,True,Medium
L0342,True,Medium
L0343,False,Medium
L0344,False,Medium
L0345,False,High
L0346,False,Medium
L0347,True,Low
L0348,False,Medium
L0349,True,Medium
L0350,True,Medium
L0351,False,High
L0352,False,Low
L0353,True,Low
L0354,False,High
L0355,False,Medium
L0356,False,High
L0357,False,Medium
L0358,False,Medium
L0359,False,High
L0360,False,Medium
L0361,True,Medium
L0362,True,Low
L0363,True,Medium
L0364,True,Low
L0365,False,High
L0366,False,High
L0367,True,Medium
L0368,False,High
L0369,False,Medium
L0370,True,Low
L0371,True,Low
L0372,False,High
L0373,True,Medium
L0374,True,Low
L0375,True,Medium
L0376,False,Medium
L0377,False,High
L0378,True,Medium
L0379,True,Medium
L0380,True,Low
L0381,True,Low
L0382,True,Medium
L0383,False,Low
L0384,True,Low
L0385,False,High
L0386,False,Medium
L0387,False,High
L0388,False,Medium
L0389,False,Medium
L0390,True,Medium
L0391,False,High
L0392,False,Medium
L0393,False,Low
L0394,False,Low
L0395,False,High
L0396,False,Medium
L0397,False,High
L0398,True,Low
L0399,False,Medium
L0400,True,Medium
L0401,False,Low
L0402,True,Medium
L0403,False,Medium
L0404,False,Medium
L0405,False,Medium
L0406,False,High
L0407,False,Low
L0408,True,Medium
L0409,False,High
L0410,False,High
L0411,False,High
L0412,True,Low
L0413,False,High
L0414,False,Medium
L0415,True,Medium
L0416,True,Low
L0417,False,Medium
L0418,True,Medium
L0419,False,High
L0420,False,High
L0421,False,Medium
L0422,False,High
L0423,False,Medium
L0424,False,Low
L0425,False,Low
L0426,True,Low
L0427,False,Medium
L0428,False,High
L0429,False,High
L0430,False,Medium
L0431,False,High
L0432,False,High
L0433,True,Medium
L0434,True,Low
L0435,False,Low
L0436,False,Low
L0437,False,High
L0438,True,Low
L0439,True,Low
L0440,False,Medium
L0441,True,Medium
L0442,False,High
L0443,False,Medium
L0444,False,Medium
L0445,False,High
L0446,False,Medium
L0447,False,Medium
L0448,True,Medium
L0449,False,High
L0450,True,Low
L0451,True,Medium
L0452,False,High
L0453,False,Medium
L0454,True,Low
L0455,False,Medium
L0456,False,High
L0457,False,High
L0458,False,High
L0459,False,High
L0460,True,Medium
L0461,False,High
L0462,False,High
L0463,False,High
L0464,False,High
L0465,False,High
L0466,True,Low
L0467,False,Medium
L0468,False,Medium
L0469,False,Low
L0470,True,Low
L0471,False,High
L0472,False,Low
L0473,True,Medium
L0474,False,Medium
L0475,False,Medium
L0476,True,Medium
L0477,False,High
L0478,False,Medium
L0479,False,High
L0480,False,High
L0481,True,Medium
L0482,False,High
L0483,False,High
L0484,True,Low
L0485,False,Low
L0486,True,Low
L0487,False,Medium
L0488,True,Low
L0489,False,Medium
L0490,True,Medium
L0491,True,Low
L0492,True,Medium
L0493,False,Medium
L0494,False,Medium
L0495,True,Medium
L0496,True,Medium
L0497,False,High
L0498,False,High
L0499,True,Low
L0500,True,Low
