loan_id,user_id,amount,income,purpose,application_date,status,remarks
L0051,U0034,27428,17035,Car,2025-02-04,approved,Auto-approved. Risk Score: 32%
L0052,U0170,37801,27584,Education,2025-01-04,pending,Average Risk. Risk Score: 42%. Awaiting review.
L0053,U0174,5509,11590,Education,2025-01-24,pending,Average Risk. Risk Score: 52%. Awaiting review.
L0054,U0057,19545,13499,Education,2025-05-13,approved,Auto-approved. Risk Score: 37%
L0055,U0018,34007,28819,Business,2025-06-02,declined,Auto-declined. Risk Score: 72%
L0056,U0092,80768,21922,Home,2025-05-10,approved,Auto-approved. Risk Score: 14%
L0057,U0155,34529,24644,Medical,2025-06-02,declined,Auto-declined. Risk Score: 80%
L0058,U0193,67564,18931,Home,2025-03-03,approved,Auto-approved. Risk Score: 39%
L0059,U0198,92630,10248,Education,2025-01-28,declined,Auto-declined. Risk Score: 84%
L0060,U0058,27838,10444,Medical,2025-01-14,pending,Average Risk. Risk Score: 45%. Awaiting review.
L0061,U0097,79971,27141,Car,2025-02-12,pending,Average Risk. Risk Score: 60%. Awaiting review.
L0062,U0114,63236,22582,Home,2025-03-17,approved,Auto-approved. Risk Score: 18%
L0063,U0046,84069,28894,Medical,2025-04-14,approved,Auto-approved. Risk Score: 5%
L0064,U0067,9672,13455,Car,2025-01-07,approved,Auto-approved. Risk Score: 20%
L0065,U0075,92838,3008,Home,2025-04-03,approved,Auto-approved. Risk Score: 38%
L0066,U0151,66047,8970,Car,2025-02-02,approved,Auto-approved. Risk Score: 36%
L0067,U0143,65873,11988,Car,2025-05-03,declined,Auto-declined. Risk Score: 71%
L0068,U0121,94854,2133,Business,2025-02-15,approved,Auto-approved. Risk Score: 20%
L0069,U0026,92122,18777,Medical,2025-03-04,declined,Auto-declined. Risk Score: 67%
L0070,U0177,61224,12425,Medical,2025-01-11,approved,Auto-approved. Risk Score: 27%
L0071,U0097,76711,18705,Education,2025-03-18,declined,Auto-declined. Risk Score: 95%
L0072,U0127,47807,5157,Home,2025-02-24,approved,Auto-approved. Risk Score: 33%
L0073,U0064,16737,25171,Business,2025-04-30,approved,Auto-approved. Risk Score: 14%
L0074,U0122,24058,22586,Business,2025-05-22,approved,Auto-approved. Risk Score: 20%
L0075,U0086,39894,12794,Medical,2025-05-15,declined,Auto-declined. Risk Score: 70%
L0076,U0143,14060,10899,Home,2025-04-10,declined,Auto-declined. Risk Score: 81%
L0077,U0131,39342,3721,Medical,2025-03-18,approved,Auto-approved. Risk Score: 11%
L0078,U0018,61071,13697,Business,2025-01-12,approved,Auto-approved. Risk Score: 34%
L0079,U0086,8792,6523,Home,2025-04-06,approved,Auto-approved. Risk Score: 4%
L0080,U0038,72063,3629,Education,2025-03-27,pending,Average Risk. Risk Score: 51%. Awaiting review.
L0081,U0082,75995,2425,Business,2025-06-13,approved,Auto-approved. Risk Score: 16%
L0082,U0168,73993,5487,Business,2025-04-22,approved,Auto-approved. Risk Score: 9%
L0083,U0189,60863,17931,Car,2025-05-31,approved,Auto-approved. Risk Score: 38%
L0084,U0036,93258,5720,Car,2025-01-25,approved,Auto-approved. Risk Score: 39%
L0085,U0099,28578,22013,Home,2025-04-26,declined,Auto-declined. Risk Score: 96%
L0086,U0069,9684,9023,Business,2025-03-11,declined,Auto-declined. Risk Score: 71%
L0087,U0078,28354,18629,Business,2025-01-01,pending,Average Risk. Risk Score: 47%. Awaiting review.
L0088,U0151,62284,28536,Medical,2025-05-09,declined,Auto-declined. Risk Score: 90%
L0089,U0052,96735,11376,Medical,2025-03-05,pending,Average Risk. Risk Score: 47%. Awaiting review.
L0090,U0095,8648,7222,Education,2025-01-03,declined,Auto-declined. Risk Score: 61%
L0091,U0088,31534,21644,Car,2025-06-20,declined,Auto-declined. Risk Score: 93%
L0092,U0126,57793,18392,Medical,2025-06-26,declined,Auto-declined. Risk Score: 98%
L0093,U0062,86799,4986,Medical,2025-05-20,pending,Average Risk. Risk Score: 41%. Awaiting review.
L0094,U0043,25759,15202,Home,2025-05-05,approved,Auto-approved. Risk Score: 16%
L0095,U0045,33887,22593,Car,2025-06-16,declined,Auto-declined. Risk Score: 90%
L0096,U0181,68433,11969,Business,2025-04-22,declined,Auto-declined. Risk Score: 92%
L0097,U0012,21924,4579,Education,2025-04-01,approved,Auto-approved. Risk Score: 31%
L0098,U0048,9986,17052,Medical,2025-03-13,approved,Auto-approved. Risk Score: 6%
L0099,U0008,40337,10709,Medical,2025-02-03,declined,Auto-declined. Risk Score: 68%
L0100,U0133,49216,10636,Medical,2025-03-27,declined,Auto-declined. Risk Score: 73%
L0101,U0088,39714,17489,Car,2025-03-12,approved,Auto-approved. Risk Score: 30%
L0102,U0031,85472,14184,Home,2025-02-08,declined,Auto-declined. Risk Score: 75%
L0103,U0044,26071,9397,Education,2025-01-01,pending,Average Risk. Risk Score: 50%. Awaiting review.
L0104,U0068,33637,27262,Business,2025-03-04,approved,Auto-approved. Risk Score: 15%
L0105,U0167,31323,27872,Home,2025-05-02,approved,Auto-approved. Risk Score: 5%
L0106,U0126,95958,18350,Education,2025-05-30,approved,Auto-approved. Risk Score: 9%
L0107,U0049,51840,2222,Car,2025-02-19,pending,Average Risk. Risk Score: 53%. Awaiting review.
L0108,U0163,85568,29038,Business,2025-02-16,declined,Auto-declined. Risk Score: 85%
L0109,U0020,72423,7853,Home,2025-06-22,approved,Auto-approved. Risk Score: 14%
L0110,U0062,69204,2464,Home,2025-02-24,declined,Auto-declined. Risk Score: 91%
L0111,U0134,93708,12741,Education,2025-03-20,pending,Average Risk. Risk Score: 44%. Awaiting review.
L0112,U0115,58239,20203,Business,2025-01-08,pending,Average Risk. Risk Score: 46%. Awaiting review.
L0113,U0128,52332,17282,Car,2025-01-29,approved,Auto-approved. Risk Score: 2%
L0114,U0144,25170,17523,Business,2025-02-10,declined,Auto-declined. Risk Score: 84%
L0115,U0195,87880,11991,Education,2025-02-09,approved,Auto-approved. Risk Score: 24%
L0116,U0038,80425,6775,Business,2025-03-20,approved,Auto-approved. Risk Score: 26%
L0117,U0190,13220,27146,Education,2025-02-16,approved,Auto-approved. Risk Score: 2%
L0118,U0062,54434,19165,Car,2025-06-09,declined,Auto-declined. Risk Score: 67%
L0119,U0101,67405,23975,Business,2025-02-07,approved,Auto-approved. Risk Score: 4%
L0120,U0012,15014,19385,Home,2025-05-03,declined,Auto-declined. Risk Score: 78%
L0121,U0109,64271,19686,Business,2025-01-28,pending,Average Risk. Risk Score: 58%. Awaiting review.
L0122,U0192,23639,4225,Education,2025-04-09,declined,Auto-declined. Risk Score: 69%
L0123,U0170,17907,23006,Education,2025-02-24,pending,Average Risk. Risk Score: 55%. Awaiting review.
L0124,U0103,63163,3269,Home,2025-03-16,declined,Auto-declined. Risk Score: 63%
L0125,U0043,49062,16826,Business,2025-01-15,approved,Auto-approved. Risk Score: 29%
L0126,U0143,92703,12903,Home,2025-04-07,pending,Average Risk. Risk Score: 49%. Awaiting review.
L0127,U0056,24110,27354,Car,2025-03-10,declined,Auto-declined. Risk Score: 73%
L0128,U0012,77597,17668,Car,2025-05-22,approved,Auto-approved. Risk Score: 15%
L0129,U0161,25218,10887,Car,2025-03-30,pending,Average Risk. Risk Score: 51%. Awaiting review.
L0130,U0145,87307,13306,Home,2025-03-01,approved,Auto-approved. Risk Score: 4%
L0131,U0127,46606,5115,Car,2025-03-04,declined,Auto-declined. Risk Score: 76%
L0132,U0152,9037,14802,Education,2025-01-30,approved,Auto-approved. Risk Score: 27%
L0133,U0065,33268,14002,Business,2025-06-09,approved,Auto-approved. Risk Score: 17%
L0134,U0098,63341,25387,Business,2025-01-13,approved,Auto-approved. Risk Score: 0%
L0135,U0160,65354,2336,Education,2025-05-07,approved,Auto-approved. Risk Score: 38%
L0136,U0088,44038,16553,Car,2025-05-21,declined,Auto-declined. Risk Score: 91%
L0137,U0081,98349,25136,Home,2025-04-02,declined,Auto-declined. Risk Score: 76%
L0138,U0101,51511,27349,Medical,2025-06-26,declined,Auto-declined. Risk Score: 77%
L0139,U0084,81744,5220,Car,2025-06-28,pending,Average Risk. Risk Score: 42%. Awaiting review.
L0140,U0053,14361,4721,Car,2025-03-07,approved,Auto-approved. Risk Score: 29%
L0141,U0109,14907,8403,Business,2025-03-23,pending,Average Risk. Risk Score: 56%. Awaiting review.
L0142,U0127,56989,22285,Home,2025-05-12,approved,Auto-approved. Risk Score: 14%
L0143,U0198,56087,20696,Business,2025-05-26,approved,Auto-approved. Risk Score: 0%
L0144,U0170,91771,17477,Business,2025-02-09,approved,Auto-approved. Risk Score: 2%
L0145,U0002,15261,26465,Business,2025-02-26,approved,Auto-approved. Risk Score: 12%
L0146,U0183,63977,3838,Home,2025-02-04,approved,Auto-approved. Risk Score: 33%
L0147,U0085,25529,13709,Car,2025-06-25,declined,Auto-declined. Risk Score: 73%
L0148,U0006,9677,24647,Medical,2025-05-02,declined,Auto-declined. Risk Score: 99%
L0149,U0083,27412,21898,Medical,2025-01-03,approved,Auto-approved. Risk Score: 15%
L0150,U0035,35818,4514,Car,2025-02-16,approved,Auto-approved. Risk Score: 32%
L0151,U0015,27451,12520,Business,2025-03-14,declined,Auto-declined. Risk Score: 73%
L0152,U0143,56109,7731,Medical,2025-03-13,pending,Average Risk. Risk Score: 54%. Awaiting review.
L0153,U0122,10862,16198,Medical,2025-04-02,declined,Auto-declined. Risk Score: 64%
L0154,U0123,8444,29456,Car,2025-04-06,approved,Auto-approved. Risk Score: 22%
L0155,U0160,72404,12052,Home,2025-05-31,approved,Auto-approved. Risk Score: 21%
L0156,U0080,82875,23384,Car,2025-03-27,declined,Auto-declined. Risk Score: 82%
L0157,U0013,51884,18969,Home,2025-01-07,approved,Auto-approved. Risk Score: 31%
L0158,U0159,24789,3850,Education,2025-01-14,declined,Auto-declined. Risk Score: 77%
L0159,U0153,92695,9175,Business,2025-06-11,declined,Auto-declined. Risk Score: 87%
L0160,U0069,68231,6179,Business,2025-05-05,declined,Auto-declined. Risk Score: 85%
L0161,U0110,23100,26588,Business,2025-06-24,declined,Auto-declined. Risk Score: 82%
L0162,U0140,22442,12730,Home,2025-02-26,approved,Auto-approved. Risk Score: 20%
L0163,U0139,18194,22045,Business,2025-05-31,approved,Auto-approved. Risk Score: 10%
L0164,U0180,31166,27168,Business,2025-05-17,declined,Auto-declined. Risk Score: 81%
L0165,U0002,92099,7329,Medical,2025-03-25,declined,Auto-declined. Risk Score: 61%
L0166,U0056,73460,11382,Car,2025-02-14,declined,Auto-declined. Risk Score: 71%
L0167,U0176,44138,4322,Car,2025-06-27,approved,Auto-approved. Risk Score: 39%
L0168,U0081,93267,12465,Business,2025-06-11,approved,Auto-approved. Risk Score: 11%
L0169,U0139,87793,2770,Business,2025-01-01,pending,Average Risk. Risk Score: 58%. Awaiting review.
L0170,U0047,37563,2593,Home,2025-06-20,declined,Auto-declined. Risk Score: 89%
L0171,U0125,15422,10415,Home,2025-06-18,declined,Auto-declined. Risk Score: 69%
L0172,U0122,59090,16712,Car,2025-03-05,declined,Auto-declined. Risk Score: 89%
L0173,U0136,82492,20213,Car,2025-02-17,approved,Auto-approved. Risk Score: 13%
L0174,U0081,31824,25921,Medical,2025-03-06,pending,Average Risk. Risk Score: 52%. Awaiting review.
L0175,U0052,45023,19502,Car,2025-02-13,declined,Auto-declined. Risk Score: 100%
L0176,U0112,85166,22980,Medical,2025-06-04,declined,Auto-declined. Risk Score: 79%
L0177,U0118,39583,15591,Car,2025-02-04,approved,Auto-approved. Risk Score: 1%
L0178,U0048,97831,18285,Car,2025-05-24,declined,Auto-declined. Risk Score: 97%
L0179,U0006,53989,20892,Car,2025-03-07,approved,Auto-approved. Risk Score: 35%
L0180,U0159,21783,11283,Education,2025-06-01,declined,Auto-declined. Risk Score: 65%
L0181,U0098,62837,28579,Education,2025-05-16,declined,Auto-declined. Risk Score: 89%
L0182,U0059,32103,4367,Car,2025-04-20,pending,Average Risk. Risk Score: 53%. Awaiting review.
L0183,U0001,36668,3046,Home,2025-02-18,declined,Auto-declined. Risk Score: 79%
L0184,U0097,61033,28033,Medical,2025-06-05,declined,Auto-declined. Risk Score: 80%
L0185,U0058,16448,25159,Home,2025-01-12,approved,Auto-approved. Risk Score: 9%
L0186,U0130,20457,17489,Education,2025-02-13,approved,Auto-approved. Risk Score: 10%
L0187,U0196,36960,20403,Car,2025-01-28,pending,Average Risk. Risk Score: 48%. Awaiting review.
L0188,U0186,79625,24217,Education,2025-03-18,approved,Auto-approved. Risk Score: 0%
L0189,U0180,51094,12970,Medical,2025-03-27,declined,Auto-declined. Risk Score: 86%
L0190,U0117,75512,21958,Medical,2025-06-29,declined,Auto-declined. Risk Score: 63%
L0191,U0161,90389,27090,Education,2025-01-02,declined,Auto-declined. Risk Score: 70%
L0192,U0174,15840,9163,Car,2025-01-21,pending,Average Risk. Risk Score: 47%. Awaiting review.
L0193,U0099,63172,14481,Education,2025-01-29,approved,Auto-approved. Risk Score: 36%
L0194,U0040,25296,24516,Medical,2025-01-21,declined,Auto-declined. Risk Score: 61%
L0195,U0119,80380,19773,Education,2025-01-18,pending,Average Risk. Risk Score: 41%. Awaiting review.
L0196,U0196,15305,14936,Car,2025-06-02,approved,Auto-approved. Risk Score: 23%
L0197,U0119,71873,17616,Car,2025-05-19,approved,Auto-approved. Risk Score: 17%
L0198,U0105,70206,23945,Business,2025-03-02,approved,Auto-approved. Risk Score: 22%
L0199,U0159,49548,28438,Business,2025-04-27,pending,Average Risk. Risk Score: 51%. Awaiting review.
L0200,U0160,65079,11061,Medical,2025-02-19,declined,Auto-declined. Risk Score: 63%
L0201,U0163,19501,20607,Medical,2025-05-10,declined,Auto-declined. Risk Score: 87%
L0202,U0030,46008,19361,Education,2025-03-25,declined,Auto-declined. Risk Score: 98%
L0203,U0148,69559,28380,Car,2025-05-08,approved,Auto-approved. Risk Score: 8%
L0204,U0123,12919,6225,Business,2025-04-05,approved,Auto-approved. Risk Score: 12%
L0205,U0049,40022,24922,Medical,2025-05-27,pending,Average Risk. Risk Score: 59%. Awaiting review.
L0206,U0053,78318,2360,Home,2025-03-29,pending,Average Risk. Risk Score: 55%. Awaiting review.
L0207,U0076,48690,18655,Car,2025-03-17,pending,Average Risk. Risk Score: 44%. Awaiting review.
L0208,U0181,80695,28888,Home,2025-03-29,declined,Auto-declined. Risk Score: 62%
L0209,U0105,11350,4632,Education,2025-02-05,approved,Auto-approved. Risk Score: 15%
L0210,U0192,32340,4949,Medical,2025-06-23,declined,Auto-declined. Risk Score: 62%
L0211,U0155,80495,5689,Business,2025-04-26,approved,Auto-approved. Risk Score: 23%
L0212,U0139,43595,20227,Home,2025-03-02,approved,Auto-approved. Risk Score: 25%
L0213,U0050,20228,12320,Home,2025-04-28,pending,Average Risk. Risk Score: 59%. Awaiting review.
L0214,U0066,69345,7471,Education,2025-03-01,declined,Auto-declined. Risk Score: 73%
L0215,U0155,97807,12342,Medical,2025-04-27,pending,Average Risk. Risk Score: 53%. Awaiting review.
L0216,U0087,86415,27736,Car,2025-01-02,approved,Auto-approved. Risk Score: 0%
L0217,U0091,78494,7030,Medical,2025-05-02,pending,Average Risk. Risk Score: 46%. Awaiting review.
L0218,U0148,33432,10541,Car,2025-03-20,declined,Auto-declined. Risk Score: 91%
L0219,U0195,28484,3424,Medical,2025-06-27,pending,Average Risk. Risk Score: 51%. Awaiting review.
L0220,U0023,57405,10735,Medical,2025-01-04,approved,Auto-approved. Risk Score: 4%
L0221,U0006,53257,21566,Home,2025-05-14,pending,Average Risk. Risk Score: 46%. Awaiting review.
L0222,U0167,64782,16049,Medical,2025-03-30,declined,Auto-declined. Risk Score: 65%
L0223,U0167,92240,2170,Medical,2025-01-18,approved,Auto-approved. Risk Score: 30%
L0224,U0115,21860,25722,Business,2025-04-14,approved,Auto-approved. Risk Score: 16%
L0225,U0056,45064,3389,Business,2025-06-05,pending,Average Risk. Risk Score: 60%. Awaiting review.
L0226,U0003,77562,11187,Medical,2025-04-07,pending,Average Risk. Risk Score: 55%. Awaiting review.
L0227,U0184,30767,21214,Home,2025-02-09,declined,Auto-declined. Risk Score: 61%
L0228,U0179,62421,6636,Home,2025-01-28,pending,Average Risk. Risk Score: 43%. Awaiting review.
L0229,U0124,94887,20662,Car,2025-06-26,pending,Average Risk. Risk Score: 56%. Awaiting review.
L0230,U0100,72329,12487,Home,2025-01-09,declined,Auto-declined. Risk Score: 64%
L0231,U0165,82854,15770,Car,2025-04-20,approved,Auto-approved. Risk Score: 33%
L0232,U0003,62253,24337,Business,2025-04-05,declined,Auto-declined. Risk Score: 74%
L0233,U0066,10886,25684,Home,2025-03-18,approved,Auto-approved. Risk Score: 16%
L0234,U0123,76926,4917,Business,2025-03-28,declined,Auto-declined. Risk Score: 72%
L0235,U0084,60822,29225,Car,2025-02-27,pending,Average Risk. Risk Score: 49%. Awaiting review.
L0236,U0113,38642,15568,Medical,2025-04-12,approved,Auto-approved. Risk Score: 1%
L0237,U0027,36910,7989,Medical,2025-06-02,pending,Average Risk. Risk Score: 40%. Awaiting review.
L0238,U0030,36933,2858,Education,2025-04-08,declined,Auto-declined. Risk Score: 90%
L0239,U0179,11254,2689,Medical,2025-06-09,declined,Auto-declined. Risk Score: 64%
L0240,U0003,16834,14439,Business,2025-01-27,declined,Auto-declined. Risk Score: 86%
L0241,U0006,52597,27256,Business,2025-02-09,approved,Auto-approved. Risk Score: 37%
L0242,U0106,39421,26609,Car,2025-03-16,declined,Auto-declined. Risk Score: 75%
L0243,U0125,89736,23192,Car,2025-02-26,declined,Auto-declined. Risk Score: 73%
L0244,U0028,96195,25976,Education,2025-01-19,declined,Auto-declined. Risk Score: 63%
L0245,U0140,9589,2311,Business,2025-02-08,pending,Average Risk. Risk Score: 43%. Awaiting review.
L0246,U0048,81599,3480,Home,2025-06-27,declined,Auto-declined. Risk Score: 65%
L0247,U0074,36822,16863,Car,2025-05-29,approved,Auto-approved. Risk Score: 9%
L0248,U0028,81732,22947,Education,2025-04-16,declined,Auto-declined. Risk Score: 61%
L0249,U0029,14660,22384,Car,2025-05-25,approved,Auto-approved. Risk Score: 3%
L0250,U0178,85822,11329,Business,2025-05-11,approved,Auto-approved. Risk Score: 31%
L0251,U0051,6517,26710,Education,2025-03-07,declined,Auto-declined. Risk Score: 65%
L0252,U0034,97892,8802,Education,2025-04-04,pending,Average Risk. Risk Score: 45%. Awaiting review.
L0253,U0174,55837,11398,Home,2025-04-04,declined,Auto-declined. Risk Score: 86%
L0254,U0024,66372,14223,Business,2025-06-05,pending,Average Risk. Risk Score: 55%. Awaiting review.
L0255,U0086,20273,21480,Medical,2025-03-31,declined,Auto-declined. Risk Score: 91%
L0256,U0007,33178,12784,Education,2025-01-08,approved,Auto-approved. Risk Score: 3%
L0257,U0117,94943,19414,Home,2025-03-19,approved,Auto-approved. Risk Score: 1%
L0258,U0081,51876,23171,Business,2025-03-23,declined,Auto-declined. Risk Score: 83%
L0259,U0186,27365,12908,Car,2025-03-10,approved,Auto-approved. Risk Score: 2%
L0260,U0195,92596,7776,Car,2025-02-11,declined,Auto-declined. Risk Score: 100%
L0261,U0044,42826,25881,Home,2025-03-30,declined,Auto-declined. Risk Score: 96%
L0262,U0016,99983,29228,Home,2025-02-26,declined,Auto-declined. Risk Score: 72%
L0263,U0014,46410,26935,Home,2025-05-09,approved,Auto-approved. Risk Score: 2%
L0264,U0030,55611,29133,Medical,2025-02-24,declined,Auto-declined. Risk Score: 89%
L0265,U0185,85108,22025,Education,2025-01-18,declined,Auto-declined. Risk Score: 94%
L0266,U0018,6760,10599,Medical,2025-06-15,approved,Auto-approved. Risk Score: 28%
L0267,U0041,21858,5968,Medical,2025-05-09,approved,Auto-approved. Risk Score: 36%
L0268,U0180,89097,28200,Car,2025-03-29,approved,Auto-approved. Risk Score: 36%
L0269,U0114,11660,15656,Medical,2025-05-17,approved,Auto-approved. Risk Score: 17%
L0270,U0154,28342,19613,Education,2025-02-26,declined,Auto-declined. Risk Score: 78%
L0271,U0046,46295,20622,Education,2025-06-24,approved,Auto-approved. Risk Score: 37%
L0272,U0044,64921,4097,Car,2025-03-31,approved,Auto-approved. Risk Score: 36%
L0273,U0180,69122,29327,Medical,2025-01-21,declined,Auto-declined. Risk Score: 80%
L0274,U0045,85977,19791,Business,2025-04-04,pending,Average Risk. Risk Score: 48%. Awaiting review.
L0275,U0068,40767,23447,Car,2025-01-11,approved,Auto-approved. Risk Score: 39%
L0276,U0197,7918,7641,Business,2025-06-05,approved,Auto-approved. Risk Score: 17%
L0277,U0127,72454,19493,Medical,2025-02-04,declined,Auto-declined. Risk Score: 82%
L0278,U0070,5932,28928,Education,2025-02-03,approved,Auto-approved. Risk Score: 9%
L0279,U0156,95689,15443,Car,2025-02-21,approved,Auto-approved. Risk Score: 0%
L0280,U0164,88270,20988,Car,2025-04-04,approved,Auto-approved. Risk Score: 21%
L0281,U0095,86099,11600,Business,2025-04-22,approved,Auto-approved. Risk Score: 10%
L0282,U0149,61395,22243,Car,2025-02-26,declined,Auto-declined. Risk Score: 93%
L0283,U0022,13583,20330,Medical,2025-02-18,approved,Auto-approved. Risk Score: 37%
L0284,U0116,52443,20650,Car,2025-04-02,declined,Auto-declined. Risk Score: 63%
L0285,U0048,40075,18010,Home,2025-01-08,declined,Auto-declined. Risk Score: 61%
L0286,U0076,86021,19334,Education,2025-01-23,approved,Auto-approved. Risk Score: 8%
L0287,U0148,58522,4632,Business,2025-03-29,approved,Auto-approved. Risk Score: 10%
L0288,U0148,64441,2587,Home,2025-03-31,pending,Average Risk. Risk Score: 53%. Awaiting review.
L0289,U0003,59659,15324,Business,2025-02-26,declined,Auto-declined. Risk Score: 82%
L0290,U0111,87840,23560,Medical,2025-02-23,approved,Auto-approved. Risk Score: 9%
L0291,U0173,94711,26381,Medical,2025-06-22,declined,Auto-declined. Risk Score: 85%
L0292,U0119,40105,21251,Home,2025-06-30,approved,Auto-approved. Risk Score: 5%
L0293,U0124,45943,8076,Education,2025-04-20,declined,Auto-declined. Risk Score: 90%
L0294,U0195,42949,17320,Education,2025-01-12,declined,Auto-declined. Risk Score: 66%
L0295,U0122,42303,12206,Medical,2025-01-26,pending,Average Risk. Risk Score: 51%. Awaiting review.
L0296,U0135,68628,29789,Medical,2025-03-29,approved,Auto-approved. Risk Score: 15%
L0297,U0121,35502,5087,Education,2025-01-02,declined,Auto-declined. Risk Score: 79%
L0298,U0132,46377,13991,Car,2025-01-03,pending,Average Risk. Risk Score: 50%. Awaiting review.
L0299,U0110,69866,28210,Home,2025-04-21,pending,Average Risk. Risk Score: 48%. Awaiting review.
L0300,U0139,40500,11919,Home,2025-02-16,approved,Auto-approved. Risk Score: 16%
L0301,U0179,90539,26655,Business,2025-01-20,approved,Auto-approved. Risk Score: 4%
L0302,U0051,82592,29356,Car,2025-02-18,pending,Average Risk. Risk Score: 42%. Awaiting review.
L0303,U0136,72799,21167,Education,2025-03-10,declined,Auto-declined. Risk Score: 76%
L0304,U0163,23828,28463,Home,2025-06-28,approved,Auto-approved. Risk Score: 20%
L0305,U0035,76654,17338,Home,2025-06-26,declined,Auto-declined. Risk Score: 89%
L0306,U0198,21656,4001,Education,2025-01-19,pending,Average Risk. Risk Score: 52%. Awaiting review.
